presion , temperatura, humedad,  PM25, PM10 , CO , CH4 , CO2 , O3 
754, 20.61 ,56, 11.0 , 12.0 , 44.5 , 302.1 , 10000.0 , 6.8 
754, 20.21 ,56, 4.0 , 4.0 , 42.7 , 398.3 , 10000.0 , 6.5 
754, 20.54 ,56, 10.0 , 10.0 , 51.2 , 233.7 , 10000.0 , 6.9 
754, 23.10 ,53, 4.0 , 5.0 , 164.6 , 25.9 , 435.1 , 10.2 
754, 23.43 ,52, 40.0 , 53.0 , 165.0 , 25.1 , 404.6 , 10.3 
754, 23.63 ,51, 35.0 , 50.0 , 136.4 , 28.3 , 360.8 , 9.2 
753, 23.49 ,51, 6.0 , 6.0 , 136.6 , 27.3 , 329.9 , 9.7 
753, 23.20 ,52, 7.0 , 7.0 , 136.5 , 27.2 , 365.6 , 9.6 
753, 23.09 ,53, 4.0 , 4.0 , 135.4 , 27.4 , 373.3 , 9.4 
753, 23.09 ,53, 6.0 , 6.0 , 134.2 , 27.8 , 360.0 , 9.2 
753, 23.06 ,53, 1.0 , 1.0 , 133.7 , 27.7 , 360.3 , 9.2 
753, 22.97 ,53, 0.0 , 0.0 , 132.1 , 28.1 , 337.0 , 9.0 
753, 22.95 ,52, 0.0 , 0.0 , 132.6 , 27.7 , 342.0 , 9.1 
753, 22.92 ,52, 0.0 , 0.0 , 131.8 , 27.7 , 331.2 , 9.0 
753, 22.86 ,52, 0.0 , 0.0 , 130.6 , 28.0 , 312.7 , 8.9 
753, 22.79 ,52, 0.0 , 0.0 , 129.8 , 28.1 , 301.5 , 8.9 
753, 22.74 ,52, 0.0 , 0.0 , 129.2 , 28.0 , 294.7 , 8.9 
753, 22.67 ,53, 1.0 , 1.0 , 128.8 , 27.9 , 283.2 , 8.9 
753, 22.72 ,53, 1.0 , 1.0 , 128.8 , 27.7 , 280.0 , 8.9 
753, 22.66 ,53, 0.0 , 0.0 , 128.1 , 27.7 , 269.4 , 8.8 
753, 22.60 ,53, 0.0 , 0.0 , 127.5 , 27.7 , 269.5 , 8.8 
753, 22.56 ,53, 0.0 , 0.0 , 126.7 , 27.6 , 260.8 , 8.8 
753, 22.47 ,54, 0.0 , 0.0 , 126.7 , 27.2 , 258.1 , 8.8 
753, 22.44 ,55, 0.0 , 0.0 , 125.9 , 27.3 , 254.8 , 8.8 
753, 22.43 ,55, 0.0 , 0.0 , 127.3 , 26.3 , 254.1 , 9.2 
753, 22.39 ,55, 0.0 , 0.0 , 128.0 , 25.5 , 244.6 , 9.4 
753, 22.38 ,55, 0.0 , 0.0 , 127.3 , 25.5 , 245.1 , 9.3 
753, 22.39 ,55, 3.0 , 3.0 , 127.0 , 25.4 , 244.3 , 9.3 
753, 22.95 ,55, 0.0 , 0.0 , 127.5 , 25.2 , 234.3 , 9.3 
754, 23.40 ,54, 0.0 , 0.0 , 127.9 , 25.1 , 214.0 , 9.3 
754, 24.27 ,52, 0.0 , 0.0 , 129.1 , 24.5 , 207.2 , 9.5 
754, 24.95 ,49, 3.0 , 3.0 , 128.3 , 23.9 , 171.5 , 10.4 
754, 24.53 ,50, 29.0 , 40.0 , 130.2 , 20.8 , 149.5 , 12.5 
754, 22.54 ,47, 24.0 , 24.0 , 109.6 , 31.8 , 75.0 , 8.3 
754, 21.02 ,51, 6.0 , 6.0 , 104.8 , 34.6 , 65.9 , 7.7 
754, 21.16 ,50, 3.0 , 3.0 , 105.7 , 33.9 , 64.3 , 7.7 
754, 21.91 ,48, 0.0 , 0.0 , 107.2 , 32.4 , 63.1 , 7.8 
754, 23.00 ,44, 6.0 , 6.0 , 105.6 , 34.1 , 63.0 , 7.7 
754, 24.13 ,44, 0.0 , 0.0 , 135.5 , 19.3 , 87.0 , 11.1 
754, 23.61 ,44, 3.0 , 3.0 , 127.0 , 20.0 , 86.2 , 9.8 
754, 23.44 ,49, 0.0 , 0.0 , 112.6 , 26.7 , 66.6 , 8.8 
754, 24.07 ,48, 51.0 , 62.0 , 117.5 , 24.7 , 75.3 , 9.3 
754, 24.19 ,45, 22.0 , 23.0 , 109.6 , 29.1 , 59.2 , 8.4 
754, 24.24 ,40, 7.0 , 9.0 , 105.6 , 32.4 , 62.2 , 7.9 
754, 24.34 ,43, 12.0 , 13.0 , 107.9 , 29.6 , 64.0 , 8.2 
753, 24.22 ,40, 1.0 , 1.0 , 103.9 , 32.6 , 55.5 , 7.8 
753, 23.48 ,40, 1.0 , 1.0 , 100.8 , 34.8 , 50.9 , 7.7 
753, 22.70 ,44, 1.0 , 1.0 , 102.6 , 32.2 , 50.0 , 7.7 
753, 23.05 ,43, 1.0 , 1.0 , 102.2 , 32.9 , 55.2 , 7.8 
