presion,temperatura,humedad,PM25,PM10,CO,CH4,CO2,O3
750,20.86,53,4.2,4.2,152.3,32.9,581.0,9.8
743,23.14,50,1.6,1.7,140.4,36.5,420.0,8.6
743,24.94,53,1.5,1.7,184.9,26.7,1724.0,10.1
743,24.79,54,1.4,1.4,195.4,25.9,1899.0,10.2
743,24.18,56,3.3,3.3,161.3,29.9,1002.0,9.6
743,24.55,55,3.5,3.5,161.0,29.7,884.0,9.5
743,24.39,55,2.1,2.1,159.5,29.9,774.0,9.4
743,24.21,55,5.3,5.7,158.3,29.9,588.0,9.3
743,24.35,55,4.8,5.0,159.5,29.9,647.0,9.3
743,23.39,53,4.9,5.0,147.5,32.5,327.0,9.0
743,23.66,53,3.8,3.9,148.6,31.7,336.0,9.0
743,23.77,53,4.1,4.2,151.3,31.1,409.0,9.1
743,23.98,53,3.3,3.3,154.2,30.7,429.0,9.1
743,24.00,54,3.5,3.5,165.6,29.3,424.0,9.4
743,23.94,54,10.4,10.4,160.1,29.7,409.0,9.2
743,23.80,54,28.2,28.3,160.4,29.5,451.0,9.3
743,23.57,55,20.3,20.5,170.4,28.9,430.0,9.5
743,22.69,55,18.2,18.3,150.5,31.6,322.0,9.0
744,22.23,55,17.4,17.6,146.8,32.3,325.0,8.8
744,22.32,55,16.0,16.1,148.2,31.7,330.0,8.9
744,23.54,55,13.2,13.3,185.9,26.9,536.0,9.7
744,23.66,56,9.3,9.3,201.7,25.7,676.0,10.0
744,23.66,56,8.1,8.2,214.0,24.8,819.0,10.2
745,23.70,57,7.9,8.0,233.8,23.5,911.0,10.5
745,23.74,57,6.4,6.5,241.8,23.1,984.0,10.6
745,23.64,55,7.0,7.0,272.8,21.7,836.0,11.0
745,23.57,57,6.0,6.0,249.9,22.9,1031.0,10.7
745,23.51,58,5.8,5.8,249.1,22.9,1080.0,10.7
745,23.51,58,4.9,4.9,248.1,23.0,1139.0,10.7
745,23.45,58,4.6,4.7,253.3,22.6,1174.0,10.7
746,23.41,58,3.7,3.7,267.1,22.1,1209.0,10.9
745,23.39,58,3.2,3.2,264.6,22.1,1202.0,10.9
746,23.34,57,2.7,2.7,270.2,21.9,1203.0,10.9
756,19.88,53,108.6,109.3,150.7,37.6,354.0,9.3
756,20.49,50,4.6,4.6,145.5,38.0,337.0,9.0
756,20.30,51,11.1,11.2,142.9,38.1,319.0,8.8
756,20.41,51,2.0,2.0,140.6,36.8,314.0,8.6
756,20.56,51,4.9,5.2,148.4,36.6,307.0,9.0
756,21.45,47,8.9,9.0,151.2,36.6,337.0,9.0
756,21.27,47,12.5,12.8,133.7,39.4,313.0,8.3
756,22.56,45,9.9,10.0,163.5,35.6,335.0,10.0
756,21.95,47,2.1,2.2,146.4,35.6,304.0,8.9
756,21.76,47,3.2,3.2,153.9,33.5,373.0,9.0
756,21.92,46,4.6,4.7,142.9,37.5,336.0,8.7
756,22.04,46,3.8,3.8,136.4,38.4,335.0,8.4
756,21.87,45,6.9,7.0,155.9,33.9,459.0,9.1
755,22.90,44,1.7,1.7,148.5,37.5,308.0,8.9
755,23.91,41,18.6,18.7,182.0,30.9,341.0,10.0
755,22.82,43,1.8,1.8,142.4,37.6,318.0,8.7
755,23.08,43,3.1,3.1,159.5,35.7,334.0,8.9
755,22.94,42,2.5,2.5,153.6,34.5,319.0,8.7
755,22.39,42,4.7,4.7,138.6,38.7,307.0,8.3
755,22.77,42,6.7,6.7,139.4,38.1,313.0,8.4
755,22.53,42,4.6,4.6,139.3,37.3,329.0,8.4
755,22.04,45,4.5,4.5,137.4,37.6,271.0,8.2
755,21.50,47,4.4,4.5,137.1,37.2,305.0,8.2
754,21.26,47,4.2,4.2,139.5,37.4,263.0,8.4
754,21.36,48,3.6,3.6,134.2,37.7,318.0,8.2
754,21.51,46,16.0,16.1,141.3,36.8,326.0,8.4
754,21.65,44,3.1,3.2,150.3,37.3,324.0,8.9
754,21.37,44,15.1,15.2,146.4,36.3,326.0,8.6
754,21.21,44,3.5,3.5,133.8,38.7,341.0,8.1
754,21.02,46,11.9,12.0,140.1,37.6,333.0,8.6
754,21.55,46,6.3,6.3,180.5,32.4,345.0,9.8
754,21.32,46,5.9,6.0,166.2,33.6,353.0,9.4
754,20.36,47,6.8,6.8,157.4,35.1,326.0,9.3
754,19.58,52,4.4,4.4,163.5,32.4,336.0,9.0
754,19.60,54,5.4,5.4,177.3,30.9,333.0,9.4
754,19.02,51,10.0,10.0,140.3,37.7,314.0,8.2
754,19.18,50,40.9,41.2,164.9,33.5,330.0,9.1
754,19.11,50,21.8,22.2,153.1,34.6,332.0,8.8
754,18.67,52,9.8,9.9,155.8,34.0,335.0,8.7
754,18.65,53,4.8,4.8,161.5,33.7,332.0,8.9
754,18.22,53,3.8,3.9,166.3,33.5,320.0,9.2
754,17.94,54,16.1,16.2,136.3,37.1,308.0,8.1
754,17.94,53,9.9,10.0,160.1,34.6,324.0,9.0
755,17.70,53,4.1,4.1,156.3,34.8,342.0,8.8
755,17.66,54,10.2,10.3,138.6,37.5,325.0,8.1
755,17.40,54,8.4,8.5,143.9,36.7,312.0,8.5
